name,smiles,homo,lumo,gap,mark
PTZ-DO,CC1=CC2=C(C3=C(C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)=C2S1)C=C(S3)C5=CC(CCCCCC)=C(C6=NC(SC(C7=C(CCCCCC)C=C(C)S7)=N8)=C8S6)S5)C9=CC(CCCCCCCC)=C(CCCCCCCC)S9,-0.1566765,0.149466519,0.306143019,1
PBTff4T-2OD,CCCCCCCCC(CC1=C(SC(C2=CC=C(C3=NSN=C23)C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(S4)C5=CC(F)=C(S5)C6=C(F)C=C(S6)C)=C1)C)CCCCCCCCCC,-0.163331223,0.120205634,0.283536857,1
PM7,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC(Cl)=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC(Cl)=C(S9)CC(CCCC)CC)C,-0.167654973,0.145842437,0.31349741,1
SM1,CCC(CCCC)CN1C2=CC=C(C3=CC=C(C4=CC(CCCCCCCC)=C(/C=C(SC(N5CC)=S)/C5=O)S4)C6=NSN=C36)C=C2SC7=C1C=CC(C8=CC=C(C9=CC(CCCCCCCC)=C(/C=C(SC(N%10CC)=S)/C%10=O)S9)C%11=NSN=C8%11)=C7,-0.175455971,0.121675067,0.297131038,1
Y6,CCC(CCCC)CN1C2=C(SC3=C2SC(/C=C(C(C4=C5C=C(F)C(F)=C4)=O)/C5=C(C#N)\C#N)=C3CCCCCCCCCCC)C6=C1C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C(C(C%10=C%11C=C(F)C(F)=C%10)=O)/C%11=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12,-0.15419352,0.110207475,0.264400995,0
A1,CCCCCCC1=CC=C(C(C2=CC=C(C=C2)CCCCCC)(C3=C4C=C(C5=C3)C(C6=CC=C(C=C6)CCCCCC)(C7C5SC(C8=C9C(SC(C(OCC)=O)=C9)=C(C%10=NSN=C%108)/C=C(C%11=O)\SC(N%11CCCCCCCC)=S)=C7)C%12=CC=C(C=C%12)CCCCCC)C%13C4SC(C%14=C%15C(SC(C(OCC)=O)=C%15)=C(C%16=NSN=C%16%14)/C=C(C%17=O)\SC(N%17CCCCCCCC)=S)=C%13)C=C1,-0.184718366,0.100503891,0.285222257,0
A2,CCCCCCC1=CC=C(C(C2=CC=C(C=C2)CCCCCC)(C3=C4C=C(C5=C3)C(C6=CC=C(C=C6)CCCCCC)(C7C5SC(C8=C9C(SC(C(OCC)=O)=C9)=C(C%10=NSN=C%108)/C=C(C%11=O)\S/C(N%11CCCCCCCC)=C(C#N)\C#N)=C7)C%12=CC=C(C=C%12)CCCCCC)C%13C4SC(C%14=C%15C(SC(C(OCC)=O)=C%15)=C(C%16=NSN=C%16%14)/C=C(C%17=O)\S/C(N%17CCCCCCCC)=C(C#N)\C#N)=C%13)C=C1,-0.192464914,0.090674616,0.28313953,0
DPP1,CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC=C(C(N(CC(CCCC)CC)C4=O)=C5C4=C(C6=CC=CS6)N(CC(CCCC)CC)C5=O)S3)=C2)C7=CC=C(C8=CC=C(S8)C(N9CC(CCCC)CC)=C%10C(N(CC(CCCC)CC)C(C%11=CC=CS%11)=C%10C9=O)=O)C=C71,-0.167906053,0.14262925,0.310535304,0
FRdCN2,O=C1/C(S/C(N1CCCCCC)=C(C#N)\C#N)=C/C2=CC=C(C3=CC=C(C4=CC=C(C(C=CC(C5=CC=C(C6=CC=C(/C=C(S/C(N7CCCCCC)=C(C#N)/C#N)/C7=O)O6)C8=NSN=C58)=C9)=C9C%10(CC(CCCC)CC)CC(CCCC)CC)C%10=C4)C%11=NSN=C3%11)O2,-0.185020291,0.110166657,0.295186948,0
IM-IDT3,CCCCCCC1=CC=C(C=C1)C(C2=C3C=C(C(C4C5SC(C6=CC(C7S6)C(C8=CC=C(CCCCCC)C=C8)(C9=C7C=C(C(C%10C%11SC(/C=C(C(C%12=C%13C=CC=C%12)=O)\C%13=C(C#N)/C#N)=C%10)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%11=C9)C(C=C%16)=CC=C%16CCCCCC)=C4)(C%17=CC=C(CCCCCC)C=C%17)C%18=CC=C(CCCCCC)C=C%18)C5=C2)(C%19C3SC(C%20=CC(C%21S%20)C(C%22=CC=C(CCCCCC)C=C%22)(C%23=CC=C(CCCCCC)C=C%23)C(C%21=C%24)=CC%25=C%24C(C%26=CC=C(CCCCCC)C=C%26)(C%27C%25SC(/C=C(C(C%28=C%29C=CC=C%28)=O)\C%29=C(C#N)/C#N)=C%27)C(C=C%30)=CC=C%30CCCCCC)=C%19)C%31=CC=C(CCCCCC)C=C%31,-0.207327538,0.124259244,0.331586782,0
